time,open,high,low,close,Plot,Plot,Plot,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1773359400,1.15222,1.15228,1.15198,1.15199,,,,,0.00026161346685356476,56.844169953740824,58.495799227673665,,,,
1773359700,1.152,1.15224,1.15198,1.1521,,,,,0.00026139833793974637,59.41634831153911,58.656652239564536,,,,
1773360000,1.15212,1.15261,1.15205,1.15252,,,,,0.00030121189288109937,67.40471034590878,59.16080725759663,,,,
1773360300,1.15254,1.15268,1.15242,1.15266,,,,,0.00029571697383027636,69.55587448523174,59.60880645079744,,,,
1773360600,1.15266,1.15272,1.15248,1.15268,,,,,0.0002882880439862419,69.86187459602245,59.92133347731186,,,,
1773360900,1.15268,1.15284,1.1526,1.15268,,,,,0.000281849638121412,69.86187459602245,60.119930348915254,,,69.86187459602245,
1773361200,1.15268,1.15276,1.15258,1.15263,,,,,0.0002682696863718996,67.88357456246534,60.54423012254949,,,,
1773361500,1.1526,1.1527,1.15254,1.15264,,,,,0.000253833728189001,68.07826877377758,61.763780387535405,,,,
1773361800,1.15264,1.15264,1.15248,1.15252,,,,,0.00024132256443048884,63.13238440605587,62.87837171554866,,,,
1773362100,1.15251,1.15255,1.15232,1.15232,,,,,0.00023981288917308399,55.849726068079256,63.24051482667584,,,,
1773362400,1.15234,1.15239,1.15212,1.15218,,,,,0.00024383783728333845,51.381574703821784,63.06355803135859,51.381574703821784,,,
1773362700,1.15218,1.15236,1.15216,1.15226,,,,,0.00023799279231222372,53.66287545971875,62.63915696578323,,,,
1773363000,1.15227,1.1524,1.15214,1.15225,,,,,0.00024092708667061377,53.32604163258785,62.33581805375564,,,,
1773363300,1.15226,1.15254,1.15226,1.15235,,,,,0.00024747014178118544,56.28128869851974,61.61004189953517,,,,
1773363600,1.15235,1.15266,1.15234,1.15265,,,,,0.0002571407895437071,63.70572128761391,62.10015270909753,,,,
1773363900,1.15264,1.15278,1.15259,1.15271,,,,,0.00024818868427120116,64.98642040030552,62.498015001152275,,,,
1773364200,1.15272,1.15298,1.15272,1.15277,,,,,0.00025109685970170666,66.26825625278535,62.416839708786306,,,66.26825625278535,66.26825625278535
1773364500,1.15276,1.15284,1.1526,1.15268,,,,,0.00024961727840814814,62.56806181565813,61.91771023238819,,,,
1773364800,1.15267,1.15272,1.15239,1.1524,,,,,0.00026033497462038725,52.70769192166528,60.6924114699341,,,,
1773365100,1.1524,1.1526,1.1524,1.1525,,,,,0.000252290311337666,55.41040935175351,59.660163952486315,,,,
1773365400,1.15247,1.15254,1.15233,1.15246,,,,,0.00024665160315928675,54.07908420403712,58.6741289268843,,,,
1773365700,1.15247,1.15252,1.15198,1.15214,,,,,0.00028576472273804653,44.80459494118357,57.01172365312759,,,,
1773366000,1.15214,1.15222,1.15194,1.15194,,,,,0.00028499609303964807,40.16793849110434,55.371406087773906,,,,
1773366300,1.15194,1.15198,1.15164,1.15164,,,,,0.00029232994730102926,34.41481445095542,53.84034097226506,,,,
1773366600,1.15166,1.15178,1.15158,1.15164,,,,,0.0002800192876608891,34.41481445095542,52.62842952563175,34.41481445095542,,,
1773366900,1.15164,1.15166,1.15146,1.15166,,,,,0.00026935004930610094,35.13314632145584,51.30487744432725,,,,
1773367200,1.15165,1.15182,1.15165,1.1518,,,,,0.00025610337606528794,40.08047189789158,50.35876532042038,,,,
