time,open,high,low,close,Plot,Plot,Plot,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1765476000,1.17552,1.17594,1.17365,1.17386,,,,,0.0025288836491322744,69.93173030311019,58.81445022851239,,,,
1765490400,1.17388,1.17462,1.17325,1.17349,,,,,0.0023743658292479835,68.41699152179145,60.758718412264805,,,,
1765504800,1.17348,1.17394,1.17312,1.17386,,,,,0.0021671170520149246,69.13691686595004,62.655940093353486,,,,
1765519200,1.17386,1.17434,1.1727,1.17328,,,,,0.0020968347784129163,66.57505077721689,64.45718590679185,,,,
1765533600,1.17328,1.17352,1.17196,1.17272,,,,,0.0020252568079578617,64.10512509805056,65.81446505368685,,,,
1765548000,1.17272,1.17482,1.17232,1.17478,,,,,0.0020885559002301398,68.70467857163544,67.23653217516413,,,,
1765562400,1.17478,1.17498,1.17354,1.17403,,,,,0.002002081780199439,65.4179857058159,68.2789986269407,,,,
1765749600,1.1733,1.17425,1.17286,1.17414,,,,,0.0019204708761728475,65.6773260185658,68.71987736519571,,,,
1765764000,1.17414,1.17448,1.17318,1.17344,,,,,0.0018377414260164783,62.46692059967341,68.13770434638705,62.46692059967341,,,
1765778400,1.17343,1.17436,1.17265,1.17434,,,,,0.0018207092358809612,64.84620206783754,67.63102964559096,,,,
1765792800,1.17434,1.17598,1.17392,1.17474,,,,,0.0018526146710968266,65.88140369264602,67.8050743444126,,,,
1765807200,1.17473,1.1769,1.17441,1.17459,,,,,0.0019375993816172635,65.10712525696306,67.62124217472419,,,,
1765821600,1.17458,1.17541,1.17384,1.17539,,,,,0.0018885861307349713,67.31353271353669,67.18701756896284,,,,
1765836000,1.17521,1.1758,1.17466,1.17519,,,,,0.0017887746466369644,66.18673842384857,66.41198054404583,,,,
1765850400,1.1752,1.17592,1.17494,1.17505,,,,,0.0016809380270853666,65.36193608237147,66.08556667113592,,,,
1765864800,1.17504,1.17642,1.17444,1.17561,,,,,0.0017208129568073301,67.12662390181708,65.99339755542347,,,,
