time,open,high,low,close,Plot,Plot,Plot,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1773126900,1.1629,1.16462,1.16278,1.16452,,,,,0.0008647703538187938,69.1869191701599,55.32418505158871,,,,
1773127800,1.16454,1.1653,1.16419,1.16526,,,,,0.0008974676399762805,72.59282894690249,57.193644861803115,,,,
1773128700,1.16528,1.16636,1.16522,1.16605,,,,,0.0009298052879794619,75.68303501118555,59.33329507648882,,,75.68303501118555,
1773129600,1.16602,1.16619,1.16498,1.16517,,,,,0.0009671645829155543,66.66592434982189,60.782715224269865,,,,
1773130500,1.16518,1.16561,1.16478,1.16545,,,,,0.0009488759718601615,67.97341772696458,62.35359982322327,,,,
1773131400,1.16544,1.16598,1.16482,1.16554,,,,,0.0009770258422788134,68.40243410369993,63.56001416182097,,,,
1773132300,1.16554,1.16572,1.16432,1.16458,,,,,0.0010334223966416472,59.280470695673095,63.982613195233355,,,,
1773133200,1.16456,1.1657,1.16439,1.16549,,,,,0.0010702994104227505,64.1596210853231,65.04338699683896,,,,
1773134100,1.16551,1.16582,1.16502,1.1653,,,,,0.0010342594890330682,62.4763502517848,65.58804312376937,,,,
1773135000,1.1653,1.16588,1.16523,1.16582,,,,,0.000983024890495331,65.1696487455464,65.8460813469919,,,,
1773135900,1.1658,1.1659,1.16509,1.16515,,,,,0.0009599549050959505,59.2669806980841,65.67702107611673,,,,
1773136800,1.16516,1.16517,1.16456,1.1647,,,,,0.000913294251083157,55.62297074422689,64.88934259576725,,,,
1773137700,1.16468,1.16471,1.16422,1.16448,,,,,0.0008568550176053867,53.878836883004176,64.24803923622179,,,,
1773138600,1.16448,1.16448,1.16203,1.16358,,,,,0.0010692743485913436,47.33923406378304,63.407048034011424,47.33923406378304,,,
1773139500,1.16359,1.16398,1.16313,1.16395,,,,,0.0010400377687791668,50.02477523423616,62.03832346715973,,,,
1773140400,1.16396,1.16532,1.16386,1.16452,,,,,0.0010960327329419468,53.923163674318765,60.70477594768946,,,,
1773141300,1.16454,1.16478,1.16397,1.1644,,,,,0.0010578950352163508,52.98606972248949,59.08356414135403,,,,
1773142200,1.1644,1.1645,1.16378,1.16432,,,,,0.0010128423638541778,52.3331228503151,58.05979260567498,,,,
1773143100,1.16434,1.16478,1.16362,1.16384,,,,,0.0010324633820069313,48.47340465260584,56.666934528935066,,,,
1773144000,1.16386,1.16406,1.16214,1.1626,,,,,0.0011508015977393597,40.220741001302336,54.653956450192375,40.220741001302336,,,
1773144900,1.16261,1.16324,1.16226,1.16274,,,,,0.001128028051374109,41.43310725090427,53.37914477556603,,,,
1773145800,1.16275,1.16314,1.16231,1.16302,,,,,0.0010882909778575757,43.88432655781828,51.930909452172834,,,,
1773146700,1.16304,1.1641,1.16304,1.16345,,,,,0.0010871855141432283,47.51713601467168,50.86239414952189,,,,
1773147600,1.16346,1.16448,1.16334,1.16414,,,,,0.001094227445590787,52.797772285779224,49.978688688109955,,,,
1773148500,1.16417,1.16488,1.164,1.16446,,,,,0.001065663786178681,55.0562886002638,49.67792496683707,,,,
1773149400,1.16448,1.1646,1.1633,1.16388,,,,,0.0010969086146882007,50.353523359387474,49.301535867919974,,,,
1773150300,1.16387,1.16388,1.16291,1.16324,,,,,0.001079987466063096,45.71342882035358,48.7182924348735,,,,
1773151200,1.16324,1.1635,1.1627,1.1631,,,,,0.001042655803921338,44.74214422028656,48.532786017480895,44.74214422028656,,,
1773152100,1.16308,1.16392,1.16302,1.16388,,,,,0.001023635030065176,50.990097767147425,48.60173762697456,,,,
1773153000,1.16389,1.16498,1.16387,1.16481,,,,,0.0010351503593898118,57.203444733911134,48.83604341694544,,,,
1773153900,1.16482,1.16504,1.16402,1.16484,,,,,0.001033130311471173,57.39110186095097,49.15068856969269,,,,
1773154800,1.16482,1.16516,1.16422,1.16455,,,,,0.001020712936608342,54.885702825584765,49.33301571078338,,,,
1773155700,1.16456,1.16504,1.16398,1.16446,,,,,0.001025951211727238,54.096424638872406,49.73465999551671,,,,
1773156600,1.16444,1.16551,1.1643,1.16542,,,,,0.001050491050163627,60.60422119646744,51.190622866599924,,,60.60422119646744,
1773157500,1.16542,1.16552,1.16444,1.16476,,,,,0.0010544255768084726,54.8471823262929,52.148771086270536,,,,
1773158400,1.16476,1.16476,1.16392,1.16425,,,,,0.0010258354999006698,50.82909313849898,52.64482584203345,50.82909313849898,,,
1773159300,1.16424,1.1647,1.16416,1.16454,,,,,0.0009610574332472451,52.94028195635894,53.032193409296816,,,,
1773160200,1.16452,1.16546,1.1645,1.16474,,,,,0.0009609164421475924,54.39457539116181,53.146250773967,,,,
1773161100,1.16474,1.16546,1.1643,1.1652,,,,,0.00098746091652792,57.637222368876294,53.33060318601075,,,,
1773162000,1.16518,1.16608,1.16516,1.16552,,,,,0.000978466127657535,59.77964850758534,54.00389783945345,,,,
1773162900,1.16553,1.16672,1.16545,1.16597,,,,,0.0010173373106365147,62.640955212468214,55.21300686746164,,,62.640955212468214,
1773163800,1.16597,1.16597,1.16436,1.16444,,,,,0.0010963590025516313,49.69592827391732,55.56684858557812,,,,
1773164700,1.16444,1.16464,1.16414,1.16452,,,,,0.0010168444688780731,50.27456555657298,55.51573914196566,,,,
1773165600,1.16453,1.1646,1.16285,1.16294,,,,,0.0011145985396943487,40.39235265451915,54.31494685058052,,,,
1773166500,1.16295,1.16378,1.16139,1.1634,,,,,0.0012846520677351175,43.852703675381115,53.347918408754104,,,,
1773167400,1.16339,1.16394,1.16239,1.16258,,,,,0.0013200317920370938,39.45559247752432,52.245767669606934,,,,
1773168300,1.16259,1.16332,1.1623,1.16246,,,,,0.001280027553098788,38.84179869571685,51.15615153081011,,,,
1773169200,1.16246,1.1627,1.16201,1.16258,,,,,0.0012013572126856268,39.84951373727331,49.67367242658195,,,,
1773170100,1.1626,1.16287,1.16158,1.1616,,,,,0.0012131762509942118,34.80566061756464,48.242135161672785,,,,
